Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-70recon-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1177518447
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-70recon-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	ANC	2	L11_Pende G61_Sangu 
Scale Tree:                      0.101827
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - exp 10.00 
        q13 - exp 10.00 
        q21 - exp 10.00 
        q24 - exp 10.00 
        q31 - exp 10.00 
        q34 - exp 10.00 
        q42 - exp 10.00 
        q43 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNode ANC
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNode - P(0,0)	RecNode - P(0,1)	RecNode - P(1,0)	RecNode - P(1,1)	
144000	-73.204882	732	1.979004	0.582235	14.346338	8.061574	1.942623	22.315769	2.543419	4.980663	0.278806	0.130101	0.112810	0.478284	0.004309	0.029379	0.182326	0.783986	
145000	-77.667530	355	7.448868	4.294670	9.691725	14.464743	8.217986	3.057298	4.833442	2.582448	0.239917	0.121489	0.119306	0.519288	0.125489	0.124482	0.050847	0.699181	
146000	-77.284584	62	3.735691	4.933890	2.115469	56.390797	16.066009	14.420197	15.933591	4.951641	0.245101	0.120574	0.121778	0.512548	0.153080	0.142896	0.101014	0.603010	
147000	-77.943662	206	15.288091	6.166178	32.834685	23.472083	19.460419	5.707479	1.105644	2.669468	0.246038	0.121805	0.123025	0.509132	0.230448	0.119416	0.114740	0.535396	
148000	-81.206311	13	7.369041	17.575432	22.854839	13.506839	25.293659	1.936137	0.715808	1.488213	0.267219	0.125619	0.133973	0.473189	0.062494	0.078244	0.029965	0.829297	
149000	-76.758168	920	3.767638	4.596076	8.138649	0.982642	3.228213	11.772977	2.158456	1.917778	0.249308	0.125521	0.119560	0.505611	0.059296	0.009321	0.174951	0.756432	
150000	-77.047118	396	1.863496	1.598562	2.806385	20.027643	10.749253	13.375408	8.340227	4.826003	0.246821	0.120281	0.121937	0.510961	0.027248	0.168337	0.075516	0.728899	
151000	-77.159032	924	7.706919	6.011030	14.922269	33.114350	12.793466	14.235999	9.220915	4.198882	0.242392	0.121214	0.121207	0.515188	0.210764	0.122590	0.115714	0.550931	
152000	-77.301235	546	3.123157	2.664211	6.088816	0.818953	6.651783	19.748515	0.595863	5.824906	0.247085	0.120713	0.121445	0.510757	0.015777	0.003206	0.135374	0.845644	
153000	-78.538218	222	5.515625	5.888151	10.302010	25.481554	8.534229	26.457887	6.444802	3.877259	0.243301	0.121208	0.121168	0.514323	0.233155	0.121266	0.121693	0.523887	
154000	-77.233489	991	15.645023	7.973419	31.472518	6.954898	8.072925	11.599572	3.327819	0.986904	0.244000	0.121930	0.121232	0.512838	0.196327	0.099554	0.122392	0.581728	
155000	-78.487347	563	0.812997	1.953362	3.887490	24.514990	10.854287	48.454120	3.563529	4.924444	0.354664	0.107488	0.112087	0.425762	0.044933	0.144523	0.136205	0.674339	
156000	-77.845609	49	0.726080	4.164240	6.334063	11.828085	13.433745	4.611689	6.689060	2.261543	0.191574	0.126923	0.105599	0.575904	0.025844	0.134204	0.046245	0.793707	
157000	-76.720274	733	3.843604	1.318577	5.286156	26.568722	6.734792	10.970054	4.806801	6.205680	0.246024	0.120691	0.121422	0.511863	0.066714	0.147908	0.097018	0.688360	
158000	-73.905639	330	2.334099	0.060269	6.878687	7.284083	0.600873	7.995060	1.791788	2.322524	0.519420	0.149130	0.058060	0.273390	0.007994	0.063440	0.151094	0.777472	
159000	-76.748168	655	17.857653	15.561836	22.443452	21.252394	33.471647	1.580679	4.920093	1.816197	0.242135	0.121191	0.121023	0.515652	0.183429	0.115462	0.083844	0.617265	
160000	-73.842100	818	0.937089	0.428893	6.461094	20.423774	1.631100	5.930326	5.386212	1.359830	0.387966	0.113025	0.097833	0.401176	0.004501	0.118013	0.082699	0.794788	
161000	-76.299491	281	1.698451	3.030660	1.314003	11.089274	16.173128	0.687507	3.866280	3.133340	0.238722	0.122571	0.119062	0.519645	0.022392	0.225126	0.005681	0.746801	
162000	-74.750266	228	0.953530	0.155763	3.602386	5.983272	3.956717	4.542913	2.146875	2.324836	0.233864	0.127012	0.129595	0.509529	0.003417	0.074051	0.051781	0.870750	
163000	-79.591702	170	3.010221	3.072311	14.136914	13.688791	3.950894	16.749366	5.178926	0.459248	0.247269	0.122006	0.120373	0.510353	0.100884	0.090173	0.156308	0.652636	
164000	-75.398016	123	4.130226	1.772252	9.134805	31.066943	7.413685	18.057703	5.510104	4.601375	0.248277	0.120804	0.121095	0.509824	0.080311	0.131492	0.119673	0.668525	
165000	-76.153040	616	2.099017	0.056501	4.904914	47.000265	0.530807	6.209788	14.321979	2.264743	0.460843	0.096144	0.074443	0.368570	0.052920	0.166911	0.097454	0.682715	
166000	-75.431025	303	3.844055	0.892988	8.529158	9.442621	8.855763	50.611382	2.571148	11.594107	0.236567	0.120748	0.122066	0.520619	0.029673	0.071927	0.153801	0.744599	
167000	-76.120347	744	7.073098	0.124191	15.552180	11.350999	8.601718	11.154629	2.937723	3.310184	0.230818	0.119183	0.120982	0.529017	0.023452	0.061165	0.087378	0.828004	
168000	-75.982969	638	4.280505	8.261794	24.032661	5.587683	6.449676	13.623946	4.353550	0.334523	0.242280	0.121129	0.121243	0.515347	0.186036	0.090754	0.130695	0.592515	
169000	-75.874120	957	11.389317	1.268911	17.284055	20.268957	7.767621	3.396186	3.443779	1.624793	0.245054	0.121166	0.123929	0.509851	0.185203	0.119397	0.080194	0.615206	
170000	-78.036047	565	3.926471	1.243421	9.252145	14.798038	10.921301	6.373524	1.042897	3.860519	0.239928	0.121300	0.120649	0.518124	0.024304	0.105042	0.038608	0.832046	
171000	-74.722117	814	2.786966	1.002578	12.314100	8.690647	1.685658	17.860603	3.580205	3.737227	0.248682	0.122863	0.119541	0.508914	0.008949	0.032884	0.196612	0.761555	
172000	-74.458181	776	3.513609	0.226397	7.671290	0.008213	4.510455	7.410296	1.111373	3.118822	0.057750	0.024456	0.154862	0.762932	0.000033	0.000002	0.065413	0.934552	
173000	-79.760058	830	0.382841	3.831653	7.850106	11.784082	10.599836	13.203483	6.141370	4.201285	0.225329	0.121475	0.120448	0.532748	0.028854	0.101255	0.093099	0.776791	
174000	-77.689712	72	4.351269	9.792634	22.242317	2.418476	6.689423	3.955878	2.713657	0.481387	0.213757	0.106585	0.114220	0.565438	0.020118	0.013406	0.034312	0.932165	
175000	-76.851624	389	1.960028	8.027356	2.515538	7.039773	17.921835	6.031799	2.463818	2.149234	0.256494	0.117829	0.126615	0.499063	0.029315	0.113607	0.034843	0.822236	
176000	-73.137614	586	1.855553	1.054046	4.254984	9.442317	6.798292	2.941655	2.309854	1.727273	0.264732	0.119065	0.129399	0.486804	0.009191	0.112552	0.016833	0.861424	
177000	-75.217057	60	3.296967	2.222024	4.755201	9.734415	6.781099	10.565026	1.782895	2.541892	0.293064	0.120846	0.124015	0.462076	0.049650	0.114634	0.100238	0.735478	
178000	-78.201777	484	10.181505	4.830197	7.942624	5.698967	12.605110	9.409046	1.461509	3.540537	0.234913	0.119035	0.119787	0.526266	0.092198	0.069642	0.085304	0.752856	
179000	-72.896793	551	1.070298	1.713118	8.267584	0.065011	2.874116	15.484380	2.162622	3.768658	0.240429	0.111694	0.124091	0.523787	0.020601	0.001855	0.177912	0.799632	
180000	-80.347176	62	1.151525	12.685625	7.288896	11.567457	29.510991	11.533241	4.177969	5.497671	0.234828	0.122046	0.118835	0.524292	0.100263	0.129399	0.074258	0.696080	
181000	-77.013357	934	1.786912	6.320560	13.394948	2.282642	13.713073	9.424830	3.576962	1.558264	0.214194	0.106154	0.117964	0.561687	0.043239	0.023246	0.075298	0.858217	
182000	-77.939544	971	10.467016	2.103293	11.322145	38.886821	14.022485	14.060190	5.576816	4.506654	0.242752	0.121174	0.121293	0.514782	0.227525	0.122915	0.117594	0.531965	
183000	-74.157249	728	3.328281	0.195195	3.161623	26.397331	8.562266	7.741992	4.657804	2.936332	0.279404	0.113768	0.128542	0.478286	0.074917	0.158128	0.076716	0.690239	
184000	-80.953705	832	5.762257	1.468270	19.941364	4.846403	5.088951	2.303871	1.989339	4.033465	0.205788	0.108893	0.112376	0.572943	0.010044	0.026891	0.021136	0.941929	
185000	-75.932622	141	2.702217	4.657451	2.508944	15.222456	22.390578	7.695302	2.705091	2.696368	0.246253	0.120257	0.122637	0.510854	0.060300	0.166492	0.048222	0.724986	
186000	-79.454569	539	6.046512	2.829186	7.506660	22.414273	6.330587	15.658943	3.618279	2.090519	0.296123	0.119126	0.121623	0.463128	0.289901	0.122566	0.135306	0.452227	
187000	-75.002343	509	3.778494	1.046009	3.798127	13.067167	16.709064	10.374092	2.384748	3.688967	0.240430	0.121570	0.120731	0.517269	0.059477	0.147215	0.064444	0.728864	
188000	-77.114002	452	5.372270	1.558314	6.753143	2.217531	5.317941	9.359125	1.515586	4.021271	0.216987	0.111170	0.124343	0.547499	0.023580	0.026145	0.121166	0.829108	
189000	-73.247031	931	1.355690	1.048023	16.041672	2.773644	1.587699	11.235918	2.001301	1.350745	0.310084	0.149706	0.102195	0.438014	0.027855	0.021851	0.236276	0.714018	
190000	-75.358517	805	0.079833	2.153386	17.266271	9.468948	0.807110	12.368124	4.080250	2.591139	0.258799	0.125841	0.115094	0.500266	0.051251	0.053001	0.220278	0.675470	
191000	-76.428048	786	20.708257	1.562749	61.936469	1.670197	1.425885	8.777088	1.648929	3.434478	0.281940	0.140973	0.108541	0.468545	0.010996	0.006079	0.153359	0.829565	
192000	-79.297413	807	1.062535	5.290108	0.429183	7.270393	9.443745	21.009767	2.526521	7.880090	0.264527	0.108748	0.123255	0.503471	0.102165	0.102560	0.125991	0.669284	
193000	-77.571932	325	15.833330	2.849156	31.486416	16.144561	8.262572	5.635273	1.382363	1.672300	0.263489	0.126442	0.129337	0.480731	0.280550	0.131255	0.142707	0.445488	
194000	-79.897396	742	3.924285	19.288460	6.796508	4.722640	17.845347	8.149314	2.623620	3.835783	0.239734	0.119967	0.120426	0.519872	0.126669	0.072827	0.083259	0.717244	
195000	-76.223076	507	6.018198	1.791831	8.532800	6.016261	9.939999	7.562757	2.294334	1.609498	0.243876	0.121754	0.121642	0.512728	0.015682	0.042257	0.054489	0.887571	
196000	-71.718216	219	0.856524	0.051859	9.818073	0.756961	1.621058	8.444047	1.984566	1.512801	0.054238	0.047851	0.170524	0.727387	0.000037	0.000715	0.187752	0.811496	
197000	-73.230236	116	1.482436	0.410839	8.344816	3.566137	3.703356	11.944893	1.733806	4.288272	0.210276	0.119183	0.126713	0.543829	0.008916	0.037982	0.151088	0.802014	
198000	-78.234279	945	1.680728	0.016384	2.939130	10.284100	0.417150	11.733728	4.523066	4.657345	0.580780	0.095597	0.057366	0.266258	0.002643	0.120760	0.147861	0.728736	
199000	-75.230450	658	0.283627	0.713637	6.801368	14.920414	4.208019	38.329394	4.527003	10.446560	0.247923	0.122952	0.120368	0.508757	0.002822	0.088770	0.163976	0.744431	
200000	-80.887748	183	6.895216	0.301342	7.882919	20.816562	1.280618	8.508498	2.560934	1.450452	0.424952	0.120592	0.094868	0.359588	0.191832	0.120731	0.180269	0.507168	
201000	-74.657346	708	0.306193	1.092728	3.825018	0.079060	6.787981	1.915986	1.571680	1.493429	0.115133	0.030964	0.126687	0.727215	0.001910	0.001264	0.032240	0.964586	
202000	-76.254179	257	2.941697	1.583256	2.724346	23.879029	12.276724	13.764205	5.513800	5.353052	0.242391	0.121207	0.121245	0.515157	0.058384	0.165202	0.083106	0.693307	
203000	-76.960397	266	7.601408	0.124761	4.707008	14.415015	9.401913	29.038658	2.347171	10.735118	0.242968	0.121180	0.121186	0.514665	0.087284	0.127284	0.125252	0.660180	
204000	-77.126876	146	1.461052	0.253773	1.193986	8.998610	3.869397	5.427407	3.654487	3.436469	0.409490	0.086175	0.130161	0.374174	0.015084	0.173899	0.052750	0.758267	
205000	-74.964149	123	3.659317	1.782589	13.859405	8.382687	9.883131	1.176963	2.672747	1.084486	0.200111	0.116043	0.098487	0.585358	0.004450	0.041186	0.003266	0.951097	
206000	-79.978353	114	17.581559	8.078801	25.977747	62.914379	16.258438	6.868127	15.882546	6.828640	0.242424	0.121212	0.121212	0.515152	0.241869	0.121394	0.120442	0.516295	
207000	-75.696015	967	3.295570	0.133479	5.970405	12.452465	2.418936	13.029246	5.676023	2.388330	0.283865	0.121279	0.114463	0.480394	0.026569	0.099896	0.171276	0.702259	
208000	-79.457372	53	3.660448	3.125226	5.790912	12.143033	1.799470	24.934022	2.599507	5.718131	0.336976	0.127026	0.103594	0.432404	0.214265	0.131140	0.124255	0.530340	
209000	-78.184427	334	3.352748	0.101749	11.868881	43.561827	11.607951	10.725707	6.071654	5.590698	0.225436	0.123206	0.119102	0.532255	0.048037	0.143282	0.077352	0.731328	
210000	-78.561698	778	5.012622	3.961079	7.149635	34.313956	24.100606	3.951563	10.242299	2.731120	0.239110	0.121956	0.119491	0.519442	0.111600	0.149001	0.054122	0.685276	
211000	-75.957089	854	3.164859	1.558107	4.485841	13.035129	15.479634	0.200471	3.689297	2.250529	0.234566	0.123212	0.115661	0.526561	0.055413	0.148950	0.011261	0.784376	
212000	-79.385110	710	2.274363	4.184924	5.403313	1.943039	9.620081	6.338551	3.113602	2.817268	0.215317	0.107008	0.119376	0.558300	0.031176	0.027275	0.077882	0.863667	
213000	-77.990353	711	7.379337	11.598010	9.458663	21.507969	36.261798	4.091632	4.187277	1.247541	0.256481	0.119913	0.128539	0.495068	0.191714	0.126579	0.094528	0.587178	
214000	-79.471312	147	1.102702	1.304737	11.084580	15.031431	6.180204	14.180382	1.482105	6.057594	0.228565	0.121483	0.122831	0.527122	0.019705	0.092876	0.120242	0.767176	
215000	-76.077825	213	1.378827	3.165289	13.621785	9.436142	5.485857	9.245262	2.280752	2.873286	0.239429	0.120847	0.121724	0.518001	0.019018	0.051239	0.091460	0.838282	
216000	-77.824933	826	6.953348	3.846439	26.837854	24.205964	0.110996	56.571303	7.070338	15.093688	0.242936	0.121313	0.121076	0.514674	0.191582	0.111581	0.134557	0.562279	
217000	-73.603849	702	0.619828	0.570582	11.003983	1.363195	1.388702	11.871392	2.007561	3.573634	0.220504	0.114597	0.126072	0.538827	0.002512	0.003298	0.195167	0.799023	
218000	-78.386203	945	3.763891	3.590766	34.459666	4.012861	8.305818	18.214497	3.205938	2.495782	0.229215	0.114994	0.122927	0.532863	0.015392	0.010951	0.117465	0.856193	
219000	-74.984117	935	1.236572	2.165682	6.669189	0.733720	2.717865	9.696179	1.877560	2.976600	0.252563	0.123126	0.119998	0.504313	0.022835	0.004695	0.158516	0.813954	
220000	-79.783566	674	0.562899	4.050532	13.217515	10.101115	0.252033	15.133261	2.843608	0.802666	0.260143	0.126068	0.115071	0.498718	0.104643	0.080261	0.171233	0.643863	
221000	-74.993317	197	2.388409	2.836491	10.481766	2.983622	3.040647	5.357452	2.154066	1.200991	0.230804	0.117477	0.121334	0.530385	0.011135	0.014344	0.079772	0.894749	
222000	-79.250681	854	1.590208	3.991520	17.704902	2.115548	0.905552	24.559948	2.115336	9.723125	0.257970	0.130688	0.115947	0.495394	0.114167	0.043419	0.162397	0.680017	
223000	-75.234858	755	4.748921	0.020585	11.858243	2.520186	6.268834	2.763039	0.979184	0.925519	0.285163	0.137699	0.136235	0.440904	0.000731	0.008450	0.013568	0.977251	
224000	-75.789932	999	7.129546	0.637856	10.417763	1.877704	8.216470	7.204340	2.202115	2.976763	0.192130	0.100620	0.120220	0.587031	0.004464	0.014330	0.058786	0.922420	
225000	-74.069511	69	13.146869	0.365932	29.665210	2.357531	3.331504	12.603015	1.908255	3.182122	0.218534	0.110416	0.126787	0.544263	0.004442	0.005715	0.152457	0.837387	
226000	-77.565298	107	4.170438	7.298164	17.857593	2.312587	27.706947	13.597230	2.743626	0.786917	0.229271	0.114630	0.118506	0.537592	0.043970	0.023744	0.066370	0.865915	
227000	-76.581492	477	3.194880	0.134489	15.405737	9.849345	8.090617	1.524492	3.307480	1.136403	0.188539	0.114782	0.095938	0.600741	0.006040	0.046923	0.005951	0.941086	
228000	-76.058146	112	6.535413	7.586187	11.254528	7.146434	16.806338	4.382420	2.336275	2.231720	0.233946	0.119645	0.117682	0.528727	0.032962	0.057358	0.030397	0.879283	
229000	-77.990290	957	4.725823	3.291029	23.135753	46.586986	8.549335	19.713111	7.909083	1.596732	0.244129	0.121227	0.121168	0.513476	0.151181	0.120407	0.122795	0.605617	
230000	-76.199155	292	4.944759	0.340976	16.824157	0.967247	6.075603	13.913912	0.938654	6.124002	0.127853	0.067989	0.140052	0.664106	0.000295	0.000768	0.091944	0.906994	
231000	-78.860096	950	3.237688	6.400051	6.128770	10.394616	11.830149	1.804726	1.996361	3.184190	0.212566	0.125746	0.104981	0.556707	0.017882	0.113125	0.008450	0.860543	
232000	-76.622954	76	5.733119	1.403164	8.860260	3.065443	13.274697	11.749255	1.156089	4.783268	0.214777	0.111841	0.119091	0.554291	0.010190	0.019246	0.071789	0.898775	
233000	-77.341069	528	7.440710	2.866891	4.766240	20.248484	12.411898	13.834279	3.305566	3.610689	0.244436	0.120923	0.121624	0.513017	0.215745	0.125061	0.116427	0.542767	
234000	-75.725274	586	2.026801	1.934892	5.431277	8.662880	2.553852	5.760104	4.817995	2.430597	0.250072	0.122164	0.119147	0.508616	0.023921	0.092317	0.093460	0.790301	
235000	-75.955498	757	4.725946	0.736949	16.406705	0.706641	5.500342	2.023628	0.904786	2.567086	0.122792	0.064384	0.108951	0.703872	0.002926	0.009471	0.027759	0.959844	
236000	-79.597542	244	11.912988	0.902243	28.112092	4.786920	3.473258	15.934663	4.999840	4.628530	0.206132	0.105889	0.132305	0.555674	0.017055	0.017523	0.205292	0.760130	
237000	-76.531316	934	9.063066	0.096200	32.434579	6.427764	0.291454	26.469113	3.643769	11.302352	0.193878	0.103250	0.135649	0.567223	0.007030	0.016080	0.209228	0.767662	
238000	-76.384719	42	9.936319	1.284652	10.605540	11.442292	6.340106	4.235752	2.092961	2.460391	0.247418	0.121660	0.123437	0.507485	0.122737	0.108876	0.061299	0.707088	
239000	-75.765716	474	8.415217	0.842015	11.249639	5.597237	10.827195	6.910073	3.023525	3.308407	0.217034	0.114742	0.116829	0.551396	0.038156	0.052999	0.065965	0.842881	
240000	-76.322459	913	7.218315	1.481144	35.299323	9.591878	1.724247	8.846684	1.996090	2.180597	0.270301	0.131440	0.113975	0.484284	0.026578	0.033857	0.162571	0.776994	
241000	-74.287441	551	0.621005	0.860120	1.717563	7.517380	6.947631	15.603616	1.161335	3.280601	0.457479	0.091668	0.114783	0.336070	0.011212	0.158857	0.101909	0.728022	
242000	-75.940026	972	6.635003	0.351405	12.717619	0.817707	0.943288	1.874594	2.388280	0.872703	0.143987	0.077352	0.085286	0.693375	0.000373	0.001376	0.010831	0.987420	
243000	-77.223715	6	1.833496	2.351596	8.864482	5.448087	8.717651	29.840468	2.629744	5.964698	0.234166	0.119265	0.122298	0.524272	0.018344	0.031397	0.144116	0.806144	
244000	-80.129896	644	6.853662	5.966758	21.296150	2.985772	26.498839	15.079728	4.301445	2.324989	0.231293	0.115964	0.119368	0.533376	0.024098	0.016650	0.061794	0.897458	
245000	-73.431171	810	0.880698	1.087658	16.073093	5.063976	0.838175	21.642927	2.987125	4.876238	0.241634	0.121780	0.120996	0.515589	0.006035	0.013279	0.214146	0.766540	
246000	-77.683280	883	0.095627	7.257272	7.825180	27.467041	3.269458	20.175916	7.657355	3.349678	0.250871	0.120853	0.120084	0.508192	0.167776	0.124265	0.131192	0.576767	
247000	-73.805167	98	1.611066	0.576894	10.659878	2.465687	1.093943	11.284320	3.031521	2.904660	0.206919	0.110052	0.130657	0.552372	0.018455	0.021785	0.222157	0.737603	
248000	-77.393553	112	4.489196	0.541013	8.652121	3.997841	1.783230	6.129953	1.201169	0.347848	0.517205	0.191624	0.088760	0.202410	0.031484	0.008334	0.780130	0.180051	
249000	-78.474761	112	6.781173	4.218210	23.328358	5.815685	12.803071	23.967746	1.583654	2.265624	0.260572	0.128750	0.120354	0.490324	0.068863	0.046612	0.124208	0.760317	
250000	-73.571306	516	3.848032	0.693541	6.279212	3.214999	12.465511	1.377553	1.052267	2.599438	0.166800	0.108992	0.084158	0.640050	0.007565	0.035407	0.013556	0.943472	
251000	-76.621461	411	3.752288	1.222873	3.387172	6.193990	3.690702	10.613729	1.876575	3.267710	0.334374	0.124142	0.115162	0.426323	0.032890	0.069689	0.144340	0.753081	
252000	-78.875264	675	0.401207	9.411516	6.596023	13.887128	11.026871	6.327109	5.739119	0.376932	0.258074	0.120312	0.125609	0.496005	0.050199	0.138959	0.067070	0.743772	
253000	-77.510512	427	6.374520	2.375387	7.766624	3.404557	2.927744	19.424706	3.012762	5.373014	0.240232	0.120322	0.121787	0.517659	0.024757	0.017136	0.182869	0.775238	
254000	-77.831642	873	0.534750	1.405873	0.262108	17.865782	5.014622	3.000978	5.995508	3.420258	0.358037	0.086865	0.153188	0.401910	0.007283	0.213460	0.020178	0.759079	
255000	-80.106122	495	3.666137	5.005461	10.414712	0.370466	4.491389	25.547593	1.012746	12.286737	0.247054	0.125097	0.119866	0.507983	0.081913	0.014816	0.160373	0.742898	
256000	-77.076359	959	4.549220	2.157887	9.805251	14.501048	13.723193	47.415326	3.292008	8.477943	0.238594	0.120987	0.121543	0.518875	0.064935	0.097045	0.134103	0.703916	
257000	-75.691887	153	7.413947	1.838427	23.398429	1.376285	4.657611	34.873314	2.376557	6.163113	0.210236	0.104742	0.129481	0.555541	0.018809	0.008455	0.173020	0.799716	
258000	-77.109750	140	2.775641	11.306936	6.387899	14.632595	15.894237	5.075098	3.901918	2.271573	0.239021	0.121648	0.119838	0.519493	0.077162	0.134473	0.051552	0.736812	
259000	-74.913528	483	5.383470	0.228423	36.204559	6.165830	3.878676	13.170737	1.879229	3.447905	0.194991	0.103988	0.131419	0.569602	0.001335	0.008187	0.129552	0.860926	
260000	-74.461985	931	1.767674	0.573005	9.317627	20.030456	2.977815	1.909053	2.636399	1.868228	0.364055	0.116545	0.124380	0.395020	0.020397	0.154947	0.016905	0.807751	
261000	-74.316876	393	4.443327	0.743005	21.340927	12.317974	2.785476	14.917902	2.899464	3.841540	0.253041	0.123907	0.119028	0.504025	0.017554	0.050395	0.164793	0.767257	
262000	-74.657929	951	1.698341	0.274760	5.378597	9.375557	8.391644	9.072215	1.837049	3.373227	0.220831	0.123222	0.121087	0.534859	0.003696	0.082822	0.056777	0.856706	
263000	-74.429530	293	10.148441	0.641718	31.266698	9.774602	5.005964	10.136115	2.951884	2.477368	0.234639	0.118683	0.122377	0.524302	0.008844	0.023603	0.108161	0.859392	
264000	-75.307019	454	4.561775	0.404290	6.394311	8.090322	4.384298	16.096261	2.591095	4.406242	0.271597	0.124660	0.117614	0.486129	0.046399	0.089469	0.152189	0.711943	
265000	-79.770630	782	8.613361	4.215783	4.962030	24.552443	18.456528	0.487138	4.407090	0.855815	0.284377	0.110059	0.159411	0.446154	0.358312	0.097352	0.199462	0.344874	
266000	-75.656788	656	1.778565	2.542170	11.456776	8.753044	6.391084	3.100810	2.028971	1.309886	0.242792	0.121759	0.122705	0.512744	0.006827	0.057859	0.021879	0.913435	
267000	-77.820668	665	3.874285	0.475261	16.029808	26.030247	15.146441	15.229263	4.611118	3.440024	0.226201	0.121186	0.119557	0.533056	0.040252	0.112191	0.085227	0.762330	
268000	-74.070120	205	0.935014	2.917050	6.977032	3.095484	12.274300	2.123027	1.451308	1.662168	0.157858	0.109950	0.090542	0.641651	0.000796	0.015065	0.006287	0.977852	
269000	-76.752393	990	2.701223	11.424820	9.051471	18.750664	20.750062	5.435450	4.896519	1.901517	0.235804	0.121814	0.118519	0.523863	0.045915	0.125929	0.035742	0.792414	
270000	-74.561256	261	3.589493	1.046914	16.649987	7.205879	1.692837	49.393951	2.645686	7.226215	0.255226	0.125649	0.117872	0.501252	0.020530	0.036858	0.180919	0.761693	
271000	-76.042037	616	5.354648	1.895506	18.013792	3.490165	10.593341	12.513392	1.233388	3.230393	0.221446	0.112789	0.121301	0.544465	0.018115	0.028246	0.100912	0.852728	
272000	-77.735192	438	3.968131	3.053716	5.845598	14.863526	7.132328	45.834726	1.467725	12.451292	0.261134	0.121237	0.118854	0.498774	0.133944	0.124763	0.134019	0.607274	
273000	-76.549652	12	6.084792	5.335599	5.308418	9.895179	12.727356	9.667812	2.744638	4.075454	0.242164	0.121222	0.121145	0.515469	0.126276	0.119199	0.089293	0.665232	
274000	-73.293804	877	6.539841	1.410282	20.858188	0.386853	4.874801	5.663222	1.334307	2.318210	0.174079	0.085394	0.128446	0.612081	0.001954	0.000923	0.057541	0.939581	
275000	-76.691881	33	1.768484	1.411898	6.381055	22.623829	11.568748	12.632451	8.938983	4.277935	0.225537	0.123416	0.119708	0.531339	0.029061	0.145839	0.079590	0.745510	
276000	-76.558321	772	12.842152	3.472305	27.103609	22.398423	5.804554	1.473058	5.955488	0.771061	0.239839	0.121348	0.116430	0.522383	0.133418	0.109559	0.025449	0.731574	
277000	-74.602711	807	0.732817	0.355561	3.398258	8.043951	2.224367	9.141676	3.780025	1.990285	0.330715	0.120773	0.110890	0.437622	0.001786	0.079617	0.143549	0.775048	
